时间,tout,two,twi,ta,tpo,tpi,tin,t排,twi无,ta无,tpo无,tpi无,twi上,twi中,twi下,ta上,ta中,ta下,tpo上,tpo中,tpo下,tpi上,tpi中,tpi下,twi模拟,ta模拟,tpo模拟,tpi模拟,twi无_模拟,ta无_模拟,tpo无_模拟,tpi无_模拟,ta模拟2,tpo模拟2,tpi模拟2,ta无_模拟2,tpo无_模拟2,tpi无_模拟2
2018-10-01 23:15:00.359,20.383631,22.42463,21.93672066666667,20.378773666666664,19.280636333333334,16.643279333333332,15.444267000000002,20.312697,24.232427,22.583795,22.390493,18.971788,22.3912,21.992502,21.42646,20.504279,20.392073,20.239969,19.523055,19.115149,19.203705,17.178997,17.008331,15.74251,22.890688734429308,20.75491691152236,19.615181293374146,15.601226983038375,26.43293186531219,25.557476454913214,24.678411669539493,17.261331370489106,20.07837891046028,19.085286957606595,15.585111887247814,23.532159448246194,22.82718859088559,16.908242603404286
2018-10-01 23:16:00.359,20.242245,22.418682,21.92648833333333,20.299917,19.252272333333334,16.603483999999998,15.376437,20.2136,24.225465,22.603091,22.291273,18.924703,22.381292,21.984583,21.41359,20.399615,20.400779,20.099357,19.462065,19.146486,19.148266,17.072832000000002,16.989041,15.748579,22.884159596710724,20.734542112977373,19.58792104312074,15.543143536645598,26.431909799622932,25.551607465727443,24.667929940898063,17.212093506833266,20.05564425074605,19.05620619733465,15.526985683573225,23.52213897399764,22.81305028380108,16.85851168721501
2018-10-01 23:17:00.359,20.177362,22.390926,21.91526633333333,20.325586666666666,19.234299,16.541098333333334,15.339615,20.255933,24.221487,22.577042,22.281351,18.86124,22.372374,21.975675,21.39775,20.407514000000006,20.44334,20.125906,19.422373,19.130312,19.150212,16.984526000000002,16.941781,15.696988,22.87766226011448,20.714998728710107,19.56170838551085,15.501806366094284,26.430853831160224,25.546011463467806,24.657950896611126,17.1749929834888,20.033093021991085,19.027700053895604,15.485601313495508,23.513353228823014,22.80016687252067,16.820899877783518
2018-10-01 23:18:00.359,20.145405,22.386961,21.907675,20.213756,19.168806333333336,16.48530933333333,15.254343,20.174154,24.218504,22.491174,22.285319,18.878641,22.365439,21.969736,21.38785,20.371967,20.267291,20.00201,19.404947,19.025178,19.076294,16.993456,16.864621,15.597851,22.871156406292442,20.695248361374837,19.534868606570868,15.430058851679135,26.42976044546032,25.54047703144348,24.64801082662545,17.11577584675376,20.01187160378205,18.99965062665531,15.41380476155529,23.505492557157666,22.787960528759736,16.761167008928116
2018-10-01 23:19:00.359,20.147342,22.383987,21.895793,20.193520333333336,19.129293666666666,16.457075666666668,15.312483,20.210714000000007,24.216515,22.53652,22.298218,18.844862,22.35454,21.958849,21.37399,20.337408,20.243109,20.000044,19.382681,18.999906,19.005294,16.934916,16.861727,15.574584,22.86468530315075,20.676894797379035,19.51063451848284,15.450198110744607,26.428642808302182,25.535247391618395,24.638844466764727,17.124055725629127,19.9904054294138,18.973025519058627,15.433892148363972,23.498790504820104,22.777211733278094,16.768951202312245
2018-10-01 23:20:00.359,20.136689,22.343344,21.88688066666667,20.204907666666667,19.135722333333334,16.44163833333333,15.395817,20.168382,24.210548,22.554851,22.260514,18.76195,22.344632,21.95192,21.36409,20.286064,20.305016,20.023643,19.324595,19.014059,19.068513,16.891258999999998,16.812538,15.621118,22.858404797883374,20.662776434391414,19.493642039170638,15.505473646674796,26.427540826207267,25.530865290887576,24.631669657781053,17.16085621868054,19.97405863421864,18.954286708198804,15.489113648780872,23.49100690339532,22.76698954348013,16.805265931622813
2018-10-01 23:21:00.359,19.913957,22.314596,21.876649,20.206132,19.118205666666668,16.410155666666668,15.283413,20.197245,24.205575,22.523013,22.247616,18.734313,22.335715,21.940042,21.35419,20.289026,20.32146,20.00791,19.306201,19.011026,19.03739,16.870423000000002,16.807714999999998,15.552329,22.85236220075061,20.65121636036509,19.47993044245309,15.43827671497494,26.426473379393638,25.527140962553894,24.62566672557632,17.10931976103236,19.95975971474116,18.9384508989957,15.421860563572226,23.483808718318162,22.757902839809017,16.753235794237373
2018-10-01 23:22:00.359,19.938167,22.295761,21.86608766666667,20.145391666666672,19.108626,16.373495000000002,15.280506,20.142405,24.205575,22.544238,22.220826,18.755809,22.326798,21.929155,21.34231,20.262366,20.274062,19.899747,19.330404,18.999906,18.995568,16.824782,16.778779999999998,15.516923,22.84653843763772,20.64061982977561,19.46709395003368,15.423432904612794,26.42544325997187,25.52379440832348,24.62022099025645,17.094527053332573,19.946023761946147,18.92320139867915,15.406957462661587,23.479703491454128,22.751471112227737,16.737967059710368
2018-10-01 23:23:00.359,20.047596,22.280892,21.859816666666664,20.175239333333334,19.081737666666665,16.364481,15.280506,20.168382,24.196625,22.473808,22.247616,18.786517,22.321844,21.924206,21.3334,20.315686,20.164757,20.045275,19.379777,18.904881,18.960555,16.856532,16.801928,15.434983,22.840915917588877,20.630730593904108,19.455155534047496,15.417472402128105,26.424451118726033,25.52073703192113,24.615264681676283,17.086956503961982,19.93482133216117,18.910150854509784,15.400938461694093,23.47175119046148,22.74230410035209,16.72991058890783
2018-10-01 23:24:00.359,20.085364,22.281883,21.84859366666667,20.136952666666673,19.039564333333328,16.329570666666665,15.221397,20.081793,24.192647,22.495034,22.254561,18.718959,22.308963,21.913318,21.3235,20.296925,20.208286,19.905647,19.265541,18.888707,18.964445,16.789062,16.736342,15.463307999999998,22.83544611644057,20.620718242439853,19.44269587993653,15.373841592722789,26.423488939330216,25.517790248334798,24.610396894607874,17.052047578319563,19.921568727665147,18.895199857685963,15.3572487042359,23.465346728609045,22.73436332186096,16.694491084452768
